index,type,name
284,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul
285,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_1
286,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Constant
287,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_2
288,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Add
289,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Constant_1
290,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_3
291,Tanh,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Tanh
292,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Constant_2
293,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Add_1
294,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_4
295,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Constant_3
296,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_5
297,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/fc2/Conv
298,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/layer_scale/Mul
299,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/Add
300,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/token_mixer/reparam_conv/Conv
301,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/conv/conv/Conv
302,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/fc1/Conv
303,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul
304,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_1
305,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Constant
