index,type,name
169,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Tanh
170,Add,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Add_1
171,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_4
172,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/act/Mul_5
173,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.3/mlp/fc2/Conv
174,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.3/layer_scale/Mul
175,Add,/vision_model/vision/_en/stages.2/blocks/blocks.3/Add
176,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/token_mixer/reparam_conv/Conv
177,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/conv/conv/Conv
178,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/fc1/Conv
179,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul
180,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_1
181,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_2
182,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Add
183,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_3
184,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Tanh
185,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Add_1
186,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_4
187,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/act/Mul_5
188,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.4/mlp/fc2/Conv
189,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.4/layer_scale/Mul
190,Add,/vision_model/vision/_en/stages.2/blocks/blocks.4/Add
191,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/token_mixer/reparam_conv/Conv
192,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/conv/conv/Conv
193,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/fc1/Conv
194,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul
195,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_1
196,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_2
197,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Add
